Location,Year,Indicator,Value,Unit
WS,2015,SE_GC_TCAQ,100.0,PERCENT
WS,2017,SE_GC_TCAQ,100.0,PERCENT
WS,2018,SE_GC_TCAQ,100.0,PERCENT
PG,2016,SE_PRE_PARTN,71.1,PERCENT
PG,2018,SE_PRE_PARTN,66.47,PERCENT
FJ,2018,SPC_4_6_1,99.74,PERCENT
FM,2012,SE_TOT_PRFL,44.0,PERCENT
FM,2015,SE_TOT_PRFL,30.0,PERCENT
FM,2018,SE_TOT_PRFL,53.0,PERCENT
NU,2019,SE_ACS_H2O,100.0,PERCENT
NU,2020,SE_ACS_H2O,100.0,PERCENT
NU,2021,SE_ACS_H2O,100.0,PERCENT
NU,2022,SE_ACS_H2O,100.0,PERCENT
NU,2023,SE_ACS_H2O,100.0,PERCENT
NR,2007,SE_GC_TCAQ,82.1,INDEX
NR,2016,SE_GC_TCAQ,100.0,INDEX
FJ,2012,SE_GC_TCAQ,100.0,INDEX
NR,2014,SE_TOT_PRFL,52.4,PERCENT
SB,2011,SE_GPI_TCAQ,96.0,INDEX
SB,2012,SE_GPI_TCAQ,97.0,INDEX
SB,2013,SE_GPI_TCAQ,99.0,INDEX
SB,2014,SE_GPI_TCAQ,97.0,INDEX
SB,2016,SE_GPI_TCAQ,97.0,INDEX
SB,2017,SE_GPI_TCAQ,96.0,INDEX
SB,2018,SE_GPI_TCAQ,95.0,INDEX
SB,2019,SE_GPI_TCAQ,98.0,INDEX
WS,2012,SE_TOT_PRFL,59.0,PERCENT
WS,2015,SE_TOT_PRFL,80.0,PERCENT
WS,2018,SE_TOT_PRFL,71.0,PERCENT
TV,2016,SE_GC_TCAQ,93.0,INDEX
TK,2015,SE_TOT_PRFL,76.0,PERCENT
TK,2018,SE_TOT_PRFL,82.0,PERCENT
FM,2018,SE_GC_TCAQ,36.58,PERCENT
FM,2019,SE_GC_TCAQ,34.49,PERCENT
FM,2020,SE_GC_TCAQ,32.1,PERCENT
FM,2021,SE_GC_TCAQ,34.3,PERCENT
MH,2016,SE_TOT_GPI,123.0,INDEX
CK,2018,SE_ACC_HNDWSH,100.0,PERCENT
CK,2019,SE_ACC_HNDWSH,100.0,PERCENT
CK,2020,SE_ACC_HNDWSH,100.0,PERCENT
CK,2021,SE_ACC_HNDWSH,100.0,PERCENT
CK,2022,SE_ACC_HNDWSH,100.0,PERCENT
CK,2023,SE_ACC_HNDWSH,100.0,PERCENT
VU,2018,SPC_4_6_1,96.28,PERCENT
NU,2020,SE_GC_TCAQ,25.0,PERCENT
NU,2021,SE_GC_TCAQ,100.0,PERCENT
KI,2014,SE_ACS_H2O,71.0,PERCENT
PG,2016,SE_ACS_SANIT,28.0,PERCENT
NU,2018,SE_TOT_GPI,130.0,INDEX
NU,2015,SE_TOT_PRFL,71.0,PERCENT
NU,2018,SE_TOT_PRFL,64.0,PERCENT
MH,2021,SE_GC_TCAQ,51.37,PERCENT
MH,2022,SE_GC_TCAQ,52.49,PERCENT
TV,2017,SE_GPI_TCAQ,113.0,INDEX
TV,2020,SE_GPI_TCAQ,88.0,INDEX
NU,2017,SE_TOT_GPI,120.0,INDEX
NR,2007,SE_GC_TCAQ,76.8,INDEX
TO,2020,SE_ACS_DISAB,0.76,PERCENT
TO,2022,SE_ACS_DISAB,0.77,PERCENT
SB,2012,SE_TOT_PRFL,67.0,PERCENT
SB,2015,SE_TOT_PRFL,66.0,PERCENT
SB,2018,SE_TOT_PRFL,70.0,PERCENT
SB,2021,SE_TOT_PRFL,70.0,PERCENT
TK,2020,SE_GPI_TCAQ,56.0,INDEX
VU,2015,SE_ACS_CMPTR,59.2,PERCENT
FM,2016,SE_GC_TCAQ,79.0,PERCENT
NR,2019,SE_ACS_ELECT,100.0,PERCENT
TO,2015,SE_TOT_PRFL,80.0,PERCENT
TO,2018,SE_TOT_PRFL,89.0,PERCENT
VU,2018,SE_GC_TCAQ,76.59,PERCENT
VU,2019,SE_GC_TCAQ,25.28,PERCENT
VU,2021,SE_GC_TCAQ,100.0,PERCENT
VU,2022,SE_GC_TCAQ,100.0,PERCENT
PF,2020,SE_ACS_ELECT,100.0,PERCENT
PG,2012,SE_GC_TCAQ,100.0,INDEX
NU,2019,SE_GC_TCAQ,0.0,PERCENT
NU,2020,SE_GC_TCAQ,0.0,PERCENT
NU,2021,SE_GC_TCAQ,0.0,PERCENT
MH,2015,SE_PRE_PARTN,39.6,PERCENT
MH,2016,SE_PRE_PARTN,63.5,PERCENT
MH,2019,SE_PRE_PARTN,68.8,PERCENT
MH,2020,SE_PRE_PARTN,60.48,PERCENT
MH,2021,SE_PRE_PARTN,83.86,PERCENT
MH,2022,SE_PRE_PARTN,90.77,PERCENT
TV,2015,SE_TOT_PRFL,43.0,PERCENT
TV,2018,SE_TOT_PRFL,69.0,PERCENT
PG,2018,SE_TOT_GPI,121.0,INDEX
